02/10/2022 10:50:00 AM,Staten Island,Walker Park,Canada Goose,Native,Unhealthy,Birds,1
02/11/2022 5:00:00 PM,Brooklyn,Prospect Park,Mute Swan,Invasive,Injured,Birds,1
02/12/2022 4:00:00 PM,Brooklyn,Prospect Park,Canada Goose,Native,Injured,Birds,1
02/14/2022 11:15:00 AM,Manhattan,Central Park,Bufflehead,Native,Healthy,Birds,0
02/14/2022 1:00:00 PM,Brooklyn,Washington Park,Red-tailed Hawk,Native,Injured,Raptors,1
02/16/2022 10:00:00 AM,Brooklyn,Bush Terminal Park,Northern Shoveler,Native,Unhealthy,Birds,1
02/16/2022 10:20:00 AM,Queens,Baisley Pond Park,Herring Gull,Native,Injured,Birds,0
02/16/2022 4:30:00 PM,Brooklyn,Prospect Park,Gull (Unknown),Native,Injured,Birds,1
02/17/2022 2:00:00 AM,Queens,College Point Fields,Gull (Unknown),Native,,Birds,0
02/17/2022 12:00:00 PM,Staten Island,Clove Lakes Park,Great Blue Heron,Native,DOA,Birds,1
02/17/2022 2:00:00 PM,Manhattan,Central Park,Red-tailed Hawk,Native,Injured,Raptors,0
02/17/2022 2:30:00 PM,Manhattan,Central Park,Cooper's Hawk,Native,Healthy,Raptors,1
02/19/2022 2:30:00 PM,Brooklyn,Bush Terminal Park,Brant,Native,Injured,Birds,1
02/20/2022 11:00:00 AM,Brooklyn,Marine Park,Mute Swan,Invasive,Healthy,Birds,1
02/21/2022 10:00:00 AM,Brooklyn,Lew Fidler Park,Mute Swan,Invasive,Healthy,Birds,1
02/22/2022 3:30:00 PM,Staten Island,Great Kills Park,Pied-billed Grebe,Native,DOA,Birds,1
02/23/2022 2:30:00 PM,Bronx,Hunts Point Playground,Chicken,Domestic,Unhealthy,"Domestic, Birds",1
02/24/2022 7:30:00 AM,Manhattan,Central Park,Red-tailed Hawk,Native,Injured,Raptors,1
02/24/2022 2:15:00 PM,Bronx,Ferry Point Park,Herring Gull,Native,Injured,Birds,1
02/24/2022 4:42:00 PM,Queens,Baisley Pond Park,Canada Goose,Native,DOA,Birds,1
02/25/2022 11:15:00 AM,Brooklyn,Prospect Park,Mute Swan,Invasive,Unhealthy,Birds,1
02/26/2022 8:05:00 AM,Brooklyn,Lew Fidler Park,Mute Swan,Invasive,Injured,Birds,0
02/26/2022 9:00:00 AM,Queens,Rockaway Beach and Boardwalk,Herring Gull,Native,Injured,Birds,0
02/26/2022 9:50:00 AM,Brooklyn,Marine Park,Herring Gull,Native,Injured,Birds,0
02/27/2022 10:30:00 AM,Brooklyn,Coney Island Beach &amp; Boardwalk,Turkey Vulture,Native,Injured,Raptors,0
02/28/2022 6:00:00 PM,Brooklyn,Dyker Beach Park,Cooper's Hawk,Native,Injured,Raptors,1
03/01/2022 11:30:00 AM,Manhattan,Union Square Park,Red-tailed Hawk,Native,Unhealthy,Raptors,1
