Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
12/05/2018 10:15:00 AM,12/05/2018 10:30:00 AM,Queens,Alley Pond Park,entrance to the red trail,Raccoon,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
12/04/2018 09:30:00 AM,12/05/2018 10:40:00 AM,Staten Island,Willowbrook Park,Willowbrook Lake,Canada Goose,Employee,Native,Injured,1,Adult,Birds,,Monitored Animal,1,false,true,,1,false,false,
12/05/2018 08:30:00 AM,12/05/2018 08:30:00 AM,Brooklyn,Marine Park,Burnett St. Path between Avenue U and Avenue V,Mute Swan,Employee,Invasive,Healthy,2,Adult,Birds,,Relocated/Condition Corrected,1,false,true,,2,false,false,
12/04/2018 08:30:00 AM,12/04/2018 09:00:00 AM,Brooklyn,Marine Park,Burnett St. Path between Avenue U and Avenue V,Mute Swan,Public,Invasive,Healthy,1,Adult,Birds,,Relocated/Condition Corrected,1,false,true,,1,false,false,
12/03/2018 11:30:00 AM,12/03/2018 12:00:00 PM,Brooklyn,Marine Park,On the Burnett St path between Avenue V and Avenue U,Mute Swan,Public,Invasive,Healthy,1,Adult,Birds,,Monitored Animal,1,false,true,,1,false,false,
12/04/2018 10:30:00 AM,12/04/2018 11:00:00 AM,Brooklyn,Prospect Park,"40.661746,-73.963260  Ocean Avenue and Lincoln Road",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1653352000,ACC,1,false,false,,,false,false,48727
12/03/2018 03:30:00 PM,12/02/2018 03:45:00 PM,Brooklyn,Prospect Park,West Drive between Grand Army Plaza and Picnic House,Raccoon,Public,Native,Healthy,1,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.25,false,false,
12/03/2018 01:00:00 PM,12/02/2018 01:30:00 PM,Brooklyn,Prospect Park,"40.6559,-739651  On tree by lake between Lakeside and Grecian Shelter",Raccoon,Employee,Native,Unhealthy,5,Adult,Small Mammals-RVS,1-1-1652315100,ACC,2,false,true,,2,false,false,48702
12/03/2018 10:00:00 AM,12/02/2018 10:45:00 AM,Brooklyn,Prospect Park,On Drive in front of Imagination Playground,Raccoon,Other,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
12/04/2018 09:30:00 AM,12/04/2018 11:09:00 AM,Staten Island,Willowbrook Park,Willowbrook Lake,Canada Goose,Employee,Native,Injured,2,Adult,Birds,,Monitored Animal,1,false,true,,2,false,false,
12/03/2018 12:30:00 PM,12/03/2018 04:20:00 PM,Manhattan,Inwood Hill Park,Emerson Playground,Striped Skunk,Public,Native,Healthy,4,Adult,Small Mammals-RVS,1-1-1652674949,Relocated/Condition Corrected,1,false,false,,,false,false,
12/03/2018 11:30:00 AM,12/03/2018 11:45:00 AM,Bronx,Van Cortlandt Park,Van Cortlandt Lake Drain,Canada Goose,Public,Native,Healthy,0.5,Adult,Birds,,Monitored Animal,1,false,false,,,false,false,
12/03/2018 09:00:00 AM,12/03/2018 09:00:00 AM,Manhattan,Jacob H. Schiff Playground,W 136 & Amsterdam,Raccoon,Employee,Native,N/A,0.5,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,
12/02/2018 02:00:00 PM,12/02/2018 03:00:00 PM,Brooklyn,Prospect Park,"South Lullwater path near rustic shelter (40.6591304,-73.9675814)",Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1652350673,ACC,1,false,false,,,false,false,48623
12/01/2018 10:40:00 AM,12/01/2018 10:50:00 AM,Brooklyn,Prospect Park,Audubon center,Raptor (Unknown),Other,Native,Unhealthy,1.25,Adult,Raptors,,Unfounded,0,false,false,,,false,false,
12/01/2018 01:20:00 PM,12/01/2018 01:25:00 PM,Queens,Police Officer Edward Byrne Park,135th Ave and 133rd St,Chicken,Central,Domestic,Healthy,2,Juvenile,Domestic,1-1-1652016772,ACC,1,false,false,,,false,false,48535
11/30/2018 04:30:00 PM,11/30/2018 04:40:00 PM,Staten Island,Reed's Basket Willow Swamp Park,n/a,White-tailed Deer,Central,Native,N/A,1.25,Adult,Deer,,Unfounded,0,false,false,,,false,false,
11/30/2018 03:00:00 PM,11/30/2018 03:00:00 PM,Manhattan,private property,Lower Manhattan,American Woodcock,Public,Native,N/A,0.25,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
11/30/2018 11:00:00 AM,11/30/2018 01:45:00 PM,Manhattan,Inwood Hill Park,M & O HQ District 12,Chicken,Employee,Domestic,Healthy,1,Adult,Birds,1-1-1647471950,ACC,1,false,false,,,false,false,48438
11/30/2018 08:30:00 AM,11/30/2018 11:15:00 AM,Staten Island,Ocean Breeze Track & Field Athletic Complex,Under the horse stables,Virginia Opossum,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,1-1-1651532054,Relocated/Condition Corrected,1,false,false,,,false,false,
11/30/2018 08:45:00 AM,11/30/2018 09:00:00 AM,Brooklyn,Prospect Park,(Bartel-Pritchard Circle) 40.66258.-73.978254,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1647526410,ACC,1,false,false,,,false,false,48397
